Common name,Scientific Name,Genus,Species,Family,Info Native or Introduced to WI,Info WI Status,Info Coefficient of Conservatism,Description,Description Quick ID,Description Medicinal uses,Description Edibility,Description Fun Facts,Description Look-Alikes,Description interactions in the prairie,Info Blooming Period,Info Soil Preference,Info Most Common Common Names,Flower color,Flower arrangement,Flower symmetry,Number Flower Parts,Flowering month,Leaf arrangement,Leaf type,Leaf shape,Leaf Margin,Petiole present,Leaf venation,Stem shape,Stem Texture,Plant Height,Growth Form,Distribution
Red osier dogwood,Cornus sericea,Cornus,sericea,Dogwood (Cornaceae),Native,Native - potentially invasive,3,"Red-osier dogwood has is one of the more attractive Dogwood shrubs, particularly during the winter.  It is identifiable by its showy reddish stems.   It tends to grow in damp prairies and wetlands and can form dense thickets.  ",It has white berries and red stems.  Leaves are opposite with entire margins.  The fall color is commonly bright red to purple.  ,"Almost all parts of dogwood trees can be used for medicinal purposes: the bark, roots, berries, twigs, leaves and flowers. Native Americans used the root of dogwood trees to treat malaria. Other ailments that have been treated with dogwood include insomnia, asthma, fevers, muscular problems, whooping cough, toothache and even canine mange. When supplies of quinine ran low during the Civil War, dogwood extract was used as a substitute. The bark was also used as a poultice on external ulcers and as a wash for gonorrhea sores. The glycoside ""cornin"" found in the bark has astringent properties. The fruits are used as a bitter digestive tonic. A tincture of them has been used to restore tone to the stomach in cases of alcoholism.",The inner bark was scraped and dried for smoking.,"The genus name comes from the Latin word cornu meaning horn in probable reference to the strength and density of the wood. The species name sericea means ""silky"" refering to the leaves. 
According to legend, Jesus Christ was crucified on a dogwood cross, after which God declared that dogwoods would again never grow tall enough for the construction of crucifixion crosses.  Dogwoods hold other important symbols for some Christians.  The dogwood blooms represent the cross, as each consists of four bracts in a cross shape. The red stamens in the flower centers are said to represent the crown of thorns that Jesus wore when he was crucified, with the red color representing his blood. The four points of the bracts are tinged in red, symbolizing the blood from Jesus’ hands and feet where they were nailed to the cross. Lastly, the dogwood tree flowers during Easter, which is seen as a reminder to Christians of Jesus’ death and resurrection.  (facts.net)
It’s been said that Native Americans planted crops, particularly corn, when the dogwoods bloomed.
Once a dogwood has reached maturity, the gray bark cracks and looks like it’s been broken into small squares, giving it the appearance of alligator hide.
The wood from dogwood trees was previously used in the construction of wheels, weaving shuttles, hay forks and machine bearings. This is largely due to the fact that wood from the dogwood tree resists splitting, and wears smoothly and evenly. The wood is strong, dense, durable, and shock resistant. For these reasons, this particular wood is still used in the manufacture of items such as golf club heads, walking canes, tool handles, spindles and mallet heads.
Dogwood roots were used to make dyes. There are several species of dogwood, the roots of which provide different color dyes. Specifically, dogwood roots provide red, black and yellow dyes. 
The beautiful “flowers” on blooming dogwood trees are not technically flowers.  They are actually a type of modified leaf called a bract.  These white, pink or scarlet leaves, which look like petals, surround a yellow center, which is in fact the true flower cluster. The purpose of the bracts is to protect the flower clusters while they are still forming, and they only unfold once the flower clusters open. These bracts also attract pollinating insects to the flower clusters.
The leaf litter of a flowering dogwood decomposes far more quickly than that of most other species of tree. Because of this, the flowering dogwood is considered to be a soil improver. It is therefore often used for urban forestry projects and is planted on abandoned strip mines.
","Compared to gray dogwood (C. foemina) which has gray or brown twigs, red-osier dogwood has more red twigs. 
Compared to rough-leaved dogwood (C. drummondii), red-osier dogwood has young shoots and leaves are less hairy.
","The nectar and pollen of the flowers attract many kinds of insects, including bees, wasps, flies, and butterflies. Other insects feed on the leaves, suck plant juices, or bore through the wood. These species include the caterpillars of many moths, long-horned beetles, leaf beetles, aphids, plant bugs, and others. Because of their higher than average fat content, the white drupes of Red-Osier Dogwood are an important food source of wood ducks, songbirds, and upland gamebirds. The White-Footed Mouse and other small rodents also eat the drupes. The White-Tailed Deer and Cottontail Rabbit browse on the leaves and woody stems; beavers also use the stems as a food source and as construction material for their dams and lodges. To a minor extent, the fallen leaves are eaten by some turtles.",June-July,Wet to Mesic,red osier dogwood,white,cyme,radial,4,"Jun, Jul",opposite,simple,"ovate, lanceolate",entire,yes,branched,round,"hairless, fuzzy","203, 203","upright no/few branches, upright branching","patches, bunches, singular"
White prairie-clover,Dalea candida,Dalea,candida,"Bean, Pea (Fabaceae)",Native,,8,"This dainty little legume, is a fine addition to any prairie.  While it may only grow to 2ft tall, its taproot often reaches 6 feet deep.  The clovers enrich prairie by adding usable nitrogen to the soil. ","The alternately arranged leaves are each composed of several narrow, gland-dotted, light green leaflets. The inflorescence is a dense cylindrical spike of flowers at the tip of each stem. The spike is packed with the pointed green calyces of sepals, the lower ones bearing corollas of white petals and the higher ones blooming later. The fruit is a green oval legume pod containing one seed.","The roots have been chewed to bring relief from pain, including that of toothaches",The root can be chewed raw for its pleasant sweet flavor. It was eaten as a delicacy by children. A tea-like beverage is made from the dried leaves.,"The Pawnee name for the plant translates to ""broom weed"" because they used the stems to sweep their lodges.
It was used in rituals to ward off disease.
","Compared to purple prairie clover (D. purpurea) which has narrower more densely packed leaflets, white prairie clover has wider leaflets (think “white=wide”). 
Compared to purple prairie clover which has purple flowers that bloom about 2 weeks later, white prairie clover has white flowers that bloom first.
Compared to purple prairie clover, white prairie clover tends to have more elongated flowering spikes with hair-like bracts, and its foliage is longer, sparser, with a lighter shade of green. 
","The nectar and pollen of the flowers attract many bees, wasps, flies, and small butterflies. Other insects feed on the seeds, foliage, and other parts of this plant. They include such species as the larvae of two butterflies, Dogface Sulphur and Reakirt's Blue, and grasshoppers. This plant is palatable and high in protein, therefore it is readily consumed by mammalian herbivores of all kinds, including rabbits, groundhogs, deer, and livestock. This can cause difficulties in establishing this plant in some areas. It is possible that small rodents may carry the seeds to their dens where some of the seeds will remain uneaten, and thus are dispersed by these rodents.",June-July,Mesic to Dry,"slender white prairie-clover, white prairie-clover",white,spike,radial,5,"Jun, Jul",alternate,pinnate,linear,entire,yes,"parallel, branched","ridged, round",hairless,"66, 28","upright no/few branches, upright branching","bunches, singular"
Purple prairie-clover,Dalea purpurea,Dalea,purpurea,"Bean, Pea (Fabaceae)",Native,,7,"A beautiful little plant when in full bloom, purple prairie clover is an important nitrogen fixer in the prairie ecosystem. The foliage is somewhat ornamental and remains attractive throughout the growing season. While it may only grow to 2ft tall, its taproot often reaches 6 feet deep. ","Typically grows 1-3' tall. Compound, odd-pinnate leaves, with 3-7 narrow linear leaflets.  This plant is not easily confused with any other species, perhaps the most similar being white prairie clover, which has white flowers and foliage that is lighter-colored more wide.","A tea was made from taproot used to cure measles by the Mesquakie tribe.  The leaves were used to treat wounds, heart problems, diarrhea, and pneumonia. ",The root can be chewed raw for its pleasant sweet flavor. It was eaten as a delicacy by children. A tea-like beverage is made from the dried leaves.,"Was used in rituals to ward off disease.  
The tough, elastic stems have been made into brooms.
","Compared to white prairie clover (D. candida) which has wider leaflets (think “white=wide”), purple prairie clover has narrower more densely packed leaflets.
Compared to white prairie clover which has white flowers that bloom two weeks earlier, purple prairie clover which has purple flowers that bloom later.
","The nectar and pollen of the flowers attract many kinds of insects including bees, wasps, flies, small butterflies, skippers, and beetles. Other insects feed destructively on the seeds, foliage, and other parts of Purple Prairie Clover and other prairie clovers. These species include seed-eating larvae of some weevils, beetles, grasshoppers, and butterflies. Purple Prairie Clover is palatable and high in protein, therefore mammalian herbivores of all kinds eat this plant readily. It can be difficult to establish in some areas if there is an abundance of these animals. It is possible that small rodents carry the seeds to their dens, which may aid in the distribution of this plant.",June-Aug,Mesic to Dry,purple prairie-clover,purple,spike,radial,5,"Jun, Jul, Aug",alternate,"pinnate, trifoliate",linear,entire,yes,"parallel, branched","ridged, round",hairless,"66, 28","upright no/few branches, upright branching","bunches, singular"
Queen Anne's lace,Daucus carota,Daucus,carota,"Parsely, Carrot (Apiaceae)",Introduced,naturalized; ecologically invasive,0,"Queen Anne’s lace, also called wild carrot is a ubiquitous weed that occurs in ag fields, new prairies, along streams and many places where the soil has been disturbed.  It is a biennial plant that grows a rosette of leaves with a stout taproot of stored sugar in the first year.  During the second year the plant grows a tall stalk and beautiful intricate bunches of flowers that produce sticky seeds.  This plant is likely the source of the domesticated carrot.   ","Easy to identify when in flower, the lacy flower umbel curls into the shape of a bird’s nest as it ages.   The presence of a single reddish purple flower in the middle of a compound umbel is a distinctive characteristic, although it is not always present.   The leaves are either basal or alternate, two-pinnately divided with narrow segments.  The small white flowers are in umbrella-shaped clusters.  The roots smell of carrots.","The plant is used to encourage delayed menstruation and can induce uterine contractions.  An essential oil obtained from the seed has also been used cosmetically in anti-wrinkle creams. 
Used to treat swelling, diabetes, acne, poor appetite.  Leaves used as a laxative.
",Caution: Can cause blisters and dermatitis for some.  The flower heads can be fried and eaten as a fritter or made into jelly.  The seeds can be used as seasoning similar to celery seeds.   Young roots can be eaten raw or cooked like carrots.,"According to most authorities, Wild Carrot is the source of the cultivated carrot.
Leaves contain significant amounts of porphyrins, which stimulate the pituitary gland and lead to the release of increased levels of sex hormones, and stimulates the uterus. The seed is a traditional 'morning after' contraceptive and there is some evidence to uphold this belief.  A strong decoction of the seeds and root make a very good insecticide.
Hippocrates is documented as suggesting its use as birth control 2000 years ago.
Roots can be powdered and used as a coffee substitute.  Can be used to make a green dye.  Mashed and dried plants can be used to make paper.
Genetic mutations in wild carrot confer some individuals with a purple taproot.
","Compared to many other plants in the carrot family, the fruits of wild carrot are very bristly and reddish while they are immature.
Compared to common ragweed (A. artemisifollia) which has opposite leaves, Queen Anne’s lace has alternate leaves.  
","The nectar and pollen of the flowers attract primarily small bees, wasps, flies, and beetles. Other insects feed destructively on the foliage, roots, and other parts of Wild Carrot. These species include root-feeding larvae of weevils, beetles, flies, and Black Swallowtail Butterflies. Grasshoppers feed on the foliage while crickets feed on the umbels of the flowers.",June-Sept,Mesic to Dry,"Queen Anne's-lace, wild carrot",white,umbel,radial,5,"Jun, Jul, Aug, Sept",alternate,"pinnate, bipinnate","divided, lobed",lobed,no,branched,round,hairy,"104, 28","upright no/few branches, upright branching","bunches, singular"
Showy tick-trefoil,Desmodium canadense,Desmodium,canadense,"Bean, Pea (Fabaceae)",Native,,4,"This tall and attractive legume that looks similar to Desmodium illinoense but with shorter petioles and more dense flowering heads.  Like many prairie legumes, trefoils enrich the prairie soil.  Bacteria that live in the roots, take nitrogen from the air and convert it to a form that plants can use.  The (sometimes annoying) seedpods have the amazing ability to stick to just about any type of clothing.  Hikers will know the seeds well as they often involuntarily carry them on shirts and shoelaces; a nifty seed dispersal mechanism. 
There are over a hundred species of Desmodium in North America. 
","The large trifoliate leaves set the trefoils apart from most plants but distinguishing the different Tick Trefoils is rather difficult. Important features to consider are the number of segments and shape of the loments, and the size and structure of the compound leaves. See look-a-likes for notes.",An infusion of the leaves is used to treat eczema and psoriasis.,The seeds were sometimes used as food after roasting. ,Play a game of seed-tag by throwing a loment at a friend. ,"Compared to Illinois tick-trefoil (D. illinoiense) which generally has longer petioles, showy tick-trefoil usually has petioles that are over 1” long. 
Compared to Illinois tick-trefoil which has petioles that are longer than the stalk of the terminal leaflet, showy tick-trefoil’s petioles are generally only half as long as the stalk of the terminal leaflet
Compared to Illinois tick-trefoil which has larger/broader more prevalent stipules, showy tick-trefoil has narrower stipules. 
Compared to Illinois tick-trefoil which has a less branching inflorescence and appears more single stalk-like, showy tick-trefoil has a bushier looking inflorescence.
Compared to Illinois tick-trefoil, showy tick-trefoil has more blooming flowers at once on each plant. 
Compared to Illinois tick-trefoil which has leaves that are a bit rougher on both sides, showy tick-trefoil has leaves that aren’t quite as rough feeling.
Compared to Illinois tick-trefoil which has more prominent veins on the underside of the leaves, showy tick-trefoil has more subtle leaf veins. 
Compared to Illinois tick-trefoil which tends to have somewhat straight mature seed pods, showy tick-trefoil seedpods are a bit more curved when mature. 
","The most important visitors of the flowers are long-tongued bees. Other insects feed on the foliage, seeds, and other parts of Showy Tick Trefoil, these species include weevils, beetles, gall fly larvae, aphids, moths, and butterflies. The flowering stems of Showy Tick Trefoil are a preferred food source of the invasive Japanese Beetle, which can weaken this plant sufficiently to interfere with the formation of seedpods. Like many other members of the Bean family, this plant is highly edible to various mammalian herbivores, including deer, rabbits, groundhogs, and livestock. Some upland gamebirds and small rodents eat the seeds, including the Bobwhite Quail, Wild Turkey, White-Footed Mouse, and Woodland Deer Mouse. The seedpods can cling to the fur of mammals and clothing of humans, causing this plant to spread into new areas.",July-Aug,Wet-mesic to Dry-mesic,"Canadian tick-trefoil, showy tick-trefoil","purple, pink","panicle, spike, raceme",bilateral,"3,5","Jul, Aug",alternate,trifoliate,lanceolate,entire,yes,branched,ridged,fuzzy,"157, 30",upright branching,bunches
Illinois tick-trefoil,Desmodium illinoense,Desmodium,illinoense,"Bean, Pea (Fabaceae)",Native,,7,"Some might consider this legume annoying because of its sticky seed pods.   With white to pink flowers, Illinois Tick Trefoil grows to a height of 3-6 feet.  It can form dense colonies in sandy prairies. 
Like most legumes tick trefoils harbor beneficial bacteria called rhizobia on their roots that add nitrogen to the prairie sod. 
","The large trifoliate leaves set the trefoils apart from most plants but distinguishing the different Tick Trefoils is rather difficult. Important features to consider are the number of segments and shape of the loments, and the size and structure of the compound leaves. See look-a-likes for notes.",An infusion of the leaves is used to treat eczema and psoriasis.,The seeds were sometimes used as food after roasting. ,Play a game of seed-tag by throwing a loment at a friend. ,"Compared to Illinois tick-trefoil (D. illinoiense) which generally has longer petioles, (D. canadense) showy tick-trefoil usually has petioles that are over 1” long. 
Compared to Illinois tick-trefoil which has petioles that are longer than the stalk of the terminal leaflet, showy tick-trefoil’s petioles are generally only half as long as the stalk of the terminal leaflet
Compared to Illinois tick-trefoil which has larger/broader more prevalent stipules, showy tick-trefoil has narrower stipules. 
Compared to Illinois tick-trefoil which has a less branching inflorescence and appears more single stalk-like, showy tick-trefoil has a bushier looking inflorescence.
Compared to Illinois tick-trefoil, showy tick-trefoil has more blooming flowers at once on each plant. 
Compared to Illinois tick-trefoil which has leaves that are a bit rougher on both sides, showy tick-trefoil has leaves that aren’t quite as rough feeling.
Compared to Illinois tick-trefoil which has more prominent veins on the underside of the leaves, showy tick-trefoil has more subtle leaf veins. 
Compared to Illinois tick-trefoil which tends to have somewhat straight mature seed pods, showy tick-trefoil seedpods are a bit more curved when mature. 
","The flowers attract long-tongued bees primarily; only pollen is available as a floral reward. Other insect feed on the leaves, seeds, and other parts of Illinois Tick Trefoil and other tick trefoils. These insects include the seed-eating larvae of weevils, beetles, gall flies, aphids, moths, and butterflies. Among vertebrate animals, the seeds of tick trefoils are eaten by the Bobwhite Quail, Wild Turkey, and White-footed Mouse. The foliage is palatable to mammalian herbivores, including deer, rabbits, groundhogs, and livestock. These same animals help to distribute the seedpods, which cling to fur, spreading Illinois Tick Trefoil and other tick trefoils to new areas. Humans also help to distribute the seedpods because they readily cling to clothing.",July-Aug,Dry-mesic to Dry,"Illinois tick-trefoil, prairie tick-trefoil","white, pink, purple",raceme,bilateral,"3,5","Jul, Aug",alternate,trifoliate,lanceolate,entire,yes,branched,"ridged, round","fuzzy, hairy","157, 30",upright branching,bunches
Prairie cinquefoil,Drymocallis arguta,Drymocallis,arguta,Rose (Rosaceae),Native,,7,"Unlike the weedy cinquefoils that invaded from other continents, prairie cinquefoil is generally found in quality habitats.  Bees and other pollinators love the flower clusters.  Cinquefoil petals have UV reflecting patterns on them that humans can’t see.  ",The entire plant looks whitish green.  It grows to be 2-3 feet tall.   The flowers occur in tight clusters at the top of the plant. ,The whole plant was cooked and eaten for use as a laxative. It was also used as a gargle for loose teeth and spongy gums.  Juice of cinquefoil mixed with honey is good for sore throats.  It has been used as a bath additive to sooth irritated skin.  Powdered or crushed roots stops bleeding. ,Young shoots and leaves of Cinquefoil are eaten in salad or cooked as a pot herb.,"When ultra-blue light is made visible through a special filter, patterns are revealed in the flowers of many cinquefoils that are not apparent to the human eye, but perceptible by most pollinating insects. These ultra-violet reflecting patterns help the flowers stand out from the background, and may function as nectar guides. 
It is thought to be a protocarnivorous plant. The plants appear to produce protease enzymes capable of breaking down prey.  It is not known whether the digestive enzymes are produced by the plant itself or by surface microbes. 
Cinquefoil is an ingredient in many anti-wrinkle creams.
The scientific name is derived from the latin word potens which means “potent” referring to the medicinal qualities of the cinquefoils. 
","Compared to sulfur cinquefoil (Potentilla recta) which has light yellow flowers and less hairy palmate leaves, prairie cinquefoil has white or cream flowers and hairy pinnate leaves. 
Old field cinquefoil (Potentilla simplex) which has palmate leaves, prairie cinquefoil has pinnate leaves. 
Compared to plants in the avens family (Geum) which have leaves with enlarged terminal lobes and flowers with conspicuous styles that elongate after flowering, prairie cinquefoil has leaflets that are more uniform in shape and shorter styles that are inconspicuous. 
","The flowers of Prairie Cinquefoil are visited primarily by small bees and flies. Wasps and small butterflies are less common visitors. The larvae of Gall Wasps forms galls on the stems. The leaves and stems are occasionally eaten by some mammalian herbivores, such as rabbits and livestock, but it is a minor food source.",June-July,Dry-mesic to Dry,"prairie cinquefoil, tall cinquefoil, tall wood beauty","white, yellow",cyme,radial,5,"Jun, Jul",alternate,pinnate,"divided, ovate, elliptic",coarsely toothed,yes,branched,round,fuzzy,"64, 28",upright no/few branches,"bunches, singular"
Pale purple coneflower,Echinacea pallida,Echinacea,pallida,"Aster, Daisy (Asteraceae)",Native,Threatened,7,"A true icon of the prairie, pale purple coneflower grows to be about 3 feet tall and has an unmistakable purple flower with long drooping petals.   Southern Wisconsin is on the northern edge of its range so it is considered somewhat rare in the state and is considered to by Threatened by the DNR.  ","The long slender leaves are coarse and hairy.  When blooming is complete, the spiky urchin-like seed head remains throughout the winter. ","Echinacea has a long history of medicinal use which continues to today. Extracts from the root have been found to be inhibitory to cancer. A coneflower tea was used to treat stomach cramps and acted as a laxative. The leaves were rubbed on sore eyes. Fresh roots and root juice has been used to treat toothaches, sore throats, snakebites and blood poisoning. Today, many people take Echinacea supplements to prevent the common cold and boost the immune system.  It can be purchased at most drugstores. ",The purple flower petals are edible and have been used as a salad garnish. ,"The name Echinacea is derived from the Greek word ekhinos, meaning “hedgehodge or sea urchin” referring to the spiky flower and seed head.
The specific epithet pallida means “pale” in reference to the pinkish-purple petals. 
Because it is so sought after for its medicinal properties, some states have passed laws specifically prohibiting the harvest of Echinacea along state highways and in wildlife areas.
Echinacea pallida has recently been divided into two species. Plants which have white pollen are considered E. pallida (Nutt.) Plants which have yellow pollen are now considered E. simulate (found mostly in Missouri).
","Blooms 2-4 weeks before purple coneflower (E. purpurea)
Compared to purple coneflower (E. purpurea) which has broader leaves and a bushier growth form, pale purple coneflower has leaves that are much more long, narrow, hairy, lighter green, and basal. 
Compared to purple coneflower, pale purple coneflower often blooms 2-4 weeks earlier. 
","For Pale Purple Coneflower bees, butterflies, and skippers are the most important visitors. The caterpillars of the butterfly including the Silvery Checkerspot feed on the foliage, while caterpillars of the moths feed on the flowerheads. Goldfinches occasionally eat the seeds. Mammalian herbivores, particularly livestock, may eat this plant occasionally, but it is not a preferred food source.",June-Aug,Mesic to Dry,"pale purple coneflower, prairie coneflower","purple, pink",head,radial,more,"Jun, Jul, Aug",basal,simple,"linear, oblong",entire,yes,parallel,round,hairy,"97, 30","upright no/few branches, upright branching","bunches, singular"
Purple coneflower,Echinacea purpurea,Echinacea,purpurea,"Aster, Daisy (Asteraceae)",Introduced,escaped,0,"A beautiful plant when in full bloom, purple coneflower is often erroneously considered a native Wisconsin prairie plant.  It is thought that the plant’s natural range extended into northern Illinois but not to Wisconsin.  There are cultivated varieties of purple coneflower that are often sold at nurseries. Purple coneflower is a favorite of many butterflies and has a long history of medicinal uses with humans.  ","It can be distinguished from the similar pale purple coneflower by its broader leaves, bushier growth form, and later blooming period.","It has been found to make mouse cells 50-80% resistant to influenza, herpes, and vesicular stomatitis viruses.  Has immunostimulatory properties and is available at most drug stores as an immune system booster. ",The purple flower petals are edible and have been used as a salad garnish. ,"The name Echinacea is derived from the Greek word ekhinos, meaning “hedgehodge or sea urchin” referring to the spiky flower and seed head.
The specific epithet pallida means “pale” in reference to the pinkish-purple petals. 
Because it is so sought after for its medicinal properties, some states have passed laws specifically prohibiting the harvest of Echinacea along state highways and in wildlife areas.

","Compared to pale purple coneflower (E. pallida), purple coneflower has broader leaves, bushier growth form, and later blooming period.","The flowers are cross-pollinated by various bees, butterflies, and skippers. Among the butterfly visitors most notable are the Monarchs, Painted Ladies, and Swallowtails. The caterpillars of the butterfly Silvery Checkerspot feed on the foliage, while the caterpillars of several moths feed on the flowerheads. A small songbird, the Eastern Goldfinch, occasionally eats the seeds during the summer and early fall.",June-Oct,Wet-mesic to Dry-mesic,"broad-leaved purple coneflower, eastern purple coneflower","purple, pink",head,radial,more,"Jun, Jul, Aug, Sept, Oct","basal, alternate",simple,"lanceolate, ovate","coarsely toothed, finely toothed",yes,branched,round,hairy,"97, 30","upright no/few branches, upright branching","bunches, singular"
Daisy fleabane,Erigeron strigosus,Erigeron,strigosus,"Aster, Daisy (Asteraceae)",Native,,2,"Considered a weed in most places that it is found it is native to eastern North America and the Great Plains and it is present in western North America as a naturalized species.  Though it is rarely planted as part of a restoration, daisy fleabane is typically present for at least the first few years of succession.  It boasts many tiny white flowers creating a nice bouquet.   ","Fleabane has two types of leaves; basal leaves and stem leaves.  The stem leaves are hairy and oval-shaped occurring mostly on the lower half of the plant.  Fleabane begins the season by growing spoon-shaped leaves at the base of the plant.  The stem branches and has several inflorescences of tiny daisy flowers.   The stem is often angled.  It is occasionally a biennial in which case, it will only form a rosette of spoon-shaped basal leaves during the first year of growth. ","Used to make tea to treat issues with intestines, menstruation and urine flow. ",The leaves are edible but they are so hairy that eating them raw is not pleasant.  They have been used as cooked greens.  ,"The common name refers to the belief that if dried stuffed into mattresses, the plant would repel fleas.  Bane is an English word meaning “death of”. 
Another common name is old man’s beard because it resembles a scruffy beard when entering seed phase. 
","Compared to annual fleabane (E. annuus) which has more toothed leaves, daisy fleabane often has no or very fine teeth.
Compared to annual fleabane often has more and broader leaves, daisy fleabane has more sparse foliage and more slender leaves.  
Compared to annual fleabane which has longer spreading hairs, daisy fleabane has shorter hairs pressed flat against the stems.
Compared to marsh fleabane (E. philadelphicus) which has slightly larger flowers, more ray florets (100-300), and wider leaves that clasp the stems, daisy fleabane has narrower leaves that don’t clasp the stem. 
","Primarily small bees and flies visit the flowerheads for nectar or pollen. Less common floral visitors include wasps, small butterflies, and beetles. Other insects feed destructively on the foliage, flowerheads, roots, and plant juices of Daisy Fleabane and other fleabanes. These species include aphids, leafhoppers, grasshoppers, crickets, and moth larvae. Mammalian herbivores occasionally browse on the foliage and flowerheads of these plants. This includes deer, rabbits, groundhogs, sheep, and other livestock.",June-Sept,Dry to Mesic,"daisy fleabane, prairie fleabane, rough fleabane","white, pink",panicle,radial,more,"Jun, Jul, Aug, Sept","alternate, basal",simple,"linear, lanceolate",entire,yes,branched,ridged,"hairy, hairless","84, 30",upright branching,"bunches, singular"
Rattlesnake master,Eryngium yuccifolium,Eryngium,yuccifolium,"Parsely, Carrot (Apiaceae)",Native,,8,"A unique form amongst the prairie community, rattlesnake master resembles a yucca-like desert plant.  It gets its name from the mistaken belief that it could be used as an antidote for rattlesnake venom.","The leaves are very rigid and leathery with bristles along the margin. They are quite hard to tear. When blooming, tiny greenish-white flowers are packed into tight clusters forming prickly balls atop the plant. ","Eating the root is said to improve the appetite.  Has been used to treat heart problems, swelling, stomachache, bladder and kidney problems, itchy skin, throat inflammations and as a cough syrup. ",The root can be eaten raw or cooked. Gives a sweet flavor when harvested in the spring and baked. ,"Fibers of rattlesnake master have also been found as one of the primary materials used in the ancient shoe construction of Midwestern Native Americans. 
The dried seedheads of rattlesnake master were used as rattles. 
Pioneers thought the roots could be used as an effective antidote to rattlesnake bite, hence the common name of this plant. 
The scientific name was given because its leaves resemble those of yuccas.  
Cordage made from the yucca-like fiber of the leaves has been found in Ozark caves on sandals that are estimated to be 10,000 years old. 
When the plant flowers, the pollen matures before stigmas become receptive to maximize outcrossing. 
Rattlesnake master has unusually high seed set (close to 90%).
",The yucca-like appearance and long leathery leaves with parallel veins set this plant apart from any other prairie species. ,"The flowering heads attract many kinds of insects, including bees, wasps, flies, butterflies, skippers, moths, and beetles. These insects usually seek nectar, although some of the bees may collect pollen for their brood nests. The caterpillars of the rare Rattlesnake Master Borer Moth bore into the stems and feed on the pith. The coarse foliage and prickly balls of flowers are not popular as a source of food with mammalian herbivores, although they may nibble off the ends of the leaves.",July-Aug,Wet-mesic to Dry-mesic,"button eryngo, rattlesnake-master",white,cyme,radial,5,"Jul, Aug",basal,simple,linear,"coarsely toothed, finely toothed",no,parallel,round,hairless,"91, 23",upright no/few branches,"bunches, singular"
Upland boneset,Eupatorium altissimum,Eupatorium,altissimum,"Aster, Daisy (Asteraceae)",Native,,4,"Though it is a native prairie plant, upland boneset is often considered a weed because of its ability to colonize disturbed dry sites. ","The leaves have 3 conspicuous parallel veins and there are often smaller leaves at the axils. The stems are often tinged reddish brown.  Flowers look similar to common boneset, a cousin that prefers wetter areas.  The two can be distinguished easily because common bonesets leaves are fused around the stem.  It can hybridize with another boneset (E. serotinum). ",Unknown,Hazardous. ,"Genus name comes in honor of Mithridates VI Eupator, 132-63 B.C., King of Pontus, who reportedly discovered the medicinal uses of Eupatorium plants.","Compared to the other bonesets (Eupatorium), upland boneset has leaves that are pointed at both ends. 
Compared to false boneset (Brickellia eupatorioides) which has alternate leaves, upland boneset has opposite leaves.
","The nectar of the flowers attracts many kinds of insects, including bees, wasps, flies, small butterflies, skippers, and beetles.  Among these, wasps and flies are particularly common visitors. Most notable are the Paper wasps and Sand wasps. The caterpillars of several moths feed on various parts of Tall Boneset and closely related plants. Mammalian herbivores, including livestock, shun the bitter-tasting leaves of this plant; consequently, it tends to flourish in pastures.",July-Sept,Wet-mesic to Dry-mesic,"upland boneset, tall boneset, tall eupatorium, tall thoroughwort",white,cyme,bilateral,more,"Jul, Aug, Sept",opposite,simple,"lanceolate, linear, oblong","coarsely toothed, finely toothed",no,"branched, parallel",round,fuzzy,"124, 33","upright no/few branches, upright branching","bunches, singular"
Common boneset,Eupatorium perfoliatum,Eupatorium,perfoliatum,"Aster, Daisy (Asteraceae)",Native,,6,Common boneset has interesting leaves and fragrant white flowers. The leaves are fused at the base making it appear that the stem grew up through them. These flowers are quite popular with many types of insects.  It prefers wetter sites than the other bonesets. ,The fused leaves are unmistakable.  Grows in clumps in wetter prairies.  The flowers come in flat-topped clusters in late summer. The other bonesets have leaves that are sessile or have distinct petioles.,"Boneset was commonly included in medical herb gardens and used as a folk medicine for treatment of flus, fevers, colds and a variety of other maladies.",Hazardous. ,"The specific epithet means perfoliate, because the fused leaves make it so that the stem appears to passes through them. 
Though some authorities claim the name boneset refers to a former use of the plant to aid the healing process for broken bones, others claim that the name is in reference to the plant's use as a diaphoretic in the treatment of an 18th century influenza called break bone fever.
Genus name comes in honor of Mithridates VI Eupator, 132-63 B.C., King of Pontus, who reportedly discovered the medicinal uses of Eupatorium plants.
","Compared to the other bonesets (Eupatorium), common boneset has leaves that are wide at the base and are fused together around the stem. ","The nectar or pollen of the flowers attracts many kinds of insects, including bees, flies, wasps, butterflies, and beetles. In particular, many kinds of unusual flies and wasps are attracted to the flowers because of the accessibility of the nectar. The caterpillars of various moth species are known to feed on various parts of Common Boneset. The small seeds appear to be of little interest to birds and other fauna, although they are occasionally eaten by the Swamp Sparrow. Mammalian herbivores display little interest in Common Boneset as a food source because of the bitterness of the foliage.",July-Oct,Wet to Wet-mesic,"boneset, common boneset, thoroughwort",white,"corymb, cyme",bilateral,more,"Jul, Aug, Sept, Oct",opposite,simple,cordiform,finely toothed,no,branched,round,hairy,"91, 23","upright no/few branches, upright branching","bunches, singular"
